"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track.name","name"
0.592,0.315,0,-12.866,1,0.0365,0.706,0,0.182,0.368,77.522,228691,4,"Hypotheticals","Gab"
0.824,0.456,5,-10.515,1,0.0427,0.0106,0.00252,0.0852,0.371,121.992,184985,4,"Can I - Tez Cadey Remix","Gab"
0.764,0.521,11,-7.428,0,0.0362,0.08,0.923,0.29,0.656,118.027,181800,4,"Love Like Mine - Cleopold Remix","Gab"
0.695,0.66,1,-9.953,1,0.048,0.00556,0.537,0.107,0.18,117.975,189500,4,"Away - Two Lanes Remix","Gab"
0.607,0.564,6,-6.864,0,0.0721,0.418,0.0812,0.0996,0.357,112.97,227257,4,"Bright Side","Gab"
0.66,0.459,0,-8.973,1,0.0294,0.308,0.000903,0.0996,0.188,119.959,195869,4,"Daylight","Gab"
0.614,0.45,1,-10.22,1,0.0445,0.645,3.55e-05,0.118,0.213,84.999,150837,4,"Slingshot","Gab"
0.781,0.455,6,-7.982,1,0.0398,0.0716,1.56e-06,0.205,0.442,95.01,128210,3,"I'd Hate Me Too","Gab"
0.583,0.884,5,-7.19,0,0.0396,0.0417,0.0398,0.296,0.396,125.042,180533,4,"Pegasus","Gab"
0.544,0.224,1,-15.584,1,0.173,0.262,0.00283,0.387,0.289,120.06,154000,3,"stay","Gab"
0.565,0.333,7,-11.613,1,0.107,0.68,0.00109,0.111,0.301,85.786,180678,4,"Little Bit More","Gab"
0.352,0.169,8,-11.223,1,0.031,0.832,0,0.243,0.166,129.133,192053,4,"This Woman's Work","Gab"
0.329,0.989,5,-2.416,1,0.0981,0.026,0.548,0.105,0.593,158.239,178584,4,"Spring Has Sprung","Gab"
0.44,0.269,5,-10.769,1,0.0262,0.914,0.261,0.132,0.138,103.877,234383,3,"I Lied (with Allison Ponthier)","Gab"
0.691,0.476,5,-12.925,1,0.16,0.734,0.00377,0.0959,0.141,114.971,166978,3,"What Falling In Love Is For - Lonely in the Rain Remix","Gab"
0.52,0.279,5,-10.739,0,0.0547,0.894,0.000105,0.103,0.0951,69.642,198627,4,"Pieces (Hushed)","Gab"
0.571,0.332,0,-16.948,1,0.0543,0.683,0.28,0.372,0.0501,114.982,156626,4,"We Could Have It All","Gab"
0.567,0.0307,2,-22.139,1,0.0422,0.91,0.158,0.099,0.129,100.488,187156,4,"All I Had Was You","Gab"
0.644,0.501,1,-9.374,0,0.0302,0.664,0.164,0.124,0.158,103.988,201196,4,"Feeling You","Gab"
0.796,0.556,0,-10.055,1,0.0463,0.0355,0.733,0.167,0.143,119.981,176000,4,"I Don't Know Why","Gab"
0.68,0.687,10,-7.824,0,0.0347,0.00186,0.0543,0.1,0.323,120.001,415272,4,"This Summer (RÜFÜS Remix)","Gab"
0.668,0.826,6,-6.251,0,0.159,0.174,2.05e-06,0.331,0.373,125.199,168960,4,"Darty","Gab"
0.702,0.669,1,-8.011,0,0.0392,0.0148,0.697,0.44,0.353,134.973,174000,4,"To Stay","Gab"
0.71,0.536,11,-7.785,1,0.0565,0.783,0.919,0.0672,0.373,124.014,311129,4,"Being","Gab"
0.751,0.812,0,-7.268,0,0.0835,0.0346,0.747,0.0726,0.263,128.001,242000,4,"Rumblah","Gab"
0.274,0.169,7,-15.256,1,0.0356,0.823,0.00544,0.116,0.355,154.966,205424,3,"Closer to You","Gab"
