"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track.name","name"
"1",0.859,0.627,6,-7.91,0,0.13,0.0388,0.000202,0.101,0.594,142.062,"audio_features","5uqphUYsR45kPYplrYSAQh","spotify:track:5uqphUYsR45kPYplrYSAQh","https://api.spotify.com/v1/tracks/5uqphUYsR45kPYplrYSAQh","https://api.spotify.com/v1/audio-analysis/5uqphUYsR45kPYplrYSAQh",260453,4,"Throw Sum Mo","Andrew"
"2",0.329,0.307,5,-10.628,1,0.0296,0.783,1.67e-05,0.115,0.179,79.278,"audio_features","5lvGoKl7dbjEXIi1E0tfL8","spotify:track:5lvGoKl7dbjEXIi1E0tfL8","https://api.spotify.com/v1/tracks/5lvGoKl7dbjEXIi1E0tfL8","https://api.spotify.com/v1/audio-analysis/5lvGoKl7dbjEXIi1E0tfL8",256000,4,"I Was In Heaven","Andrew"
"3",0.524,0.643,9,-6.055,1,0.0297,0.451,0,0.221,0.397,135.962,"audio_features","5gVCfYmQRPy1QJifP8f5gg","spotify:track:5gVCfYmQRPy1QJifP8f5gg","https://api.spotify.com/v1/tracks/5gVCfYmQRPy1QJifP8f5gg","https://api.spotify.com/v1/audio-analysis/5gVCfYmQRPy1QJifP8f5gg",232059,4,"Fall In Love","Andrew"
"4",0.674,0.753,3,-3.226,1,0.0388,0.00264,1.76e-06,0.0599,0.292,139.99,"audio_features","7ndDjjFDzw6Q68TmIzgHep","spotify:track:7ndDjjFDzw6Q68TmIzgHep","https://api.spotify.com/v1/tracks/7ndDjjFDzw6Q68TmIzgHep","https://api.spotify.com/v1/audio-analysis/7ndDjjFDzw6Q68TmIzgHep",155495,4,"Wasted (feat. Kodak Black & Koe Wetzel)","Andrew"
"5",0.504,0.736,0,-6.079,1,0.0352,0.00216,0,0.129,0.46,148.014,"audio_features","4RG7P0CXQ4pe0OeCAHjX5L","spotify:track:4RG7P0CXQ4pe0OeCAHjX5L","https://api.spotify.com/v1/tracks/4RG7P0CXQ4pe0OeCAHjX5L","https://api.spotify.com/v1/audio-analysis/4RG7P0CXQ4pe0OeCAHjX5L",199733,4,"Wild as Her","Andrew"
"6",0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,"audio_features","0vjeOZ3Ft5jvAi9SBFJm1j","spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j","https://api.spotify.com/v1/tracks/0vjeOZ3Ft5jvAi9SBFJm1j","https://api.spotify.com/v1/audio-analysis/0vjeOZ3Ft5jvAi9SBFJm1j",182667,4,"Superhero (Heroes & Villains) [with Future & Chris Brown]","Andrew"
"7",0.731,0.927,11,-5.663,0,0.0408,0.015,0,0.103,0.669,143.987,"audio_features","5ItzU5pBrFmRUudfr5RkJP","spotify:track:5ItzU5pBrFmRUudfr5RkJP","https://api.spotify.com/v1/tracks/5ItzU5pBrFmRUudfr5RkJP","https://api.spotify.com/v1/audio-analysis/5ItzU5pBrFmRUudfr5RkJP",249920,4,"Swag Surfin'","Andrew"
"8",0.404,0.571,0,-5.069,1,0.0303,0.182,2.08e-05,0.129,0.29,147.01,"audio_features","2WZyfujzMweFLnozyUJBkW","spotify:track:2WZyfujzMweFLnozyUJBkW","https://api.spotify.com/v1/tracks/2WZyfujzMweFLnozyUJBkW","https://api.spotify.com/v1/audio-analysis/2WZyfujzMweFLnozyUJBkW",245933,4,"Boston","Andrew"
"9",0.502,0.667,6,-5.486,1,0.0342,0.445,0,0.144,0.545,203.964,"audio_features","6Hiz5MDYoGdLBBQ3gGzRam","spotify:track:6Hiz5MDYoGdLBBQ3gGzRam","https://api.spotify.com/v1/tracks/6Hiz5MDYoGdLBBQ3gGzRam","https://api.spotify.com/v1/audio-analysis/6Hiz5MDYoGdLBBQ3gGzRam",163855,4,"Last Night","Andrew"
"10",0.625,0.533,10,-11.903,0,0.0596,0.659,0.00266,0.0546,0.139,108.296,"audio_features","29d0nY7TzCoi22XBqDQkiP","spotify:track:29d0nY7TzCoi22XBqDQkiP","https://api.spotify.com/v1/tracks/29d0nY7TzCoi22XBqDQkiP","https://api.spotify.com/v1/audio-analysis/29d0nY7TzCoi22XBqDQkiP",300840,4,"Running Up That Hill (A Deal With God) - 2018 Remaster","Andrew"
